stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
bxs,12-18-2020,-,13.02,2.10,0.20%,102.56M,0.96%,2.87B,12.83,2.13,0.00%,83.75M,7.93%,218.00M,2.60,0.61,62.00%,1.77%,41.18%,804.00M,3.57,8.90%,-3.40%,3.76,24.65%,25.50,1.07,2.16%,1.00%,29.22,-12.89%,3.30,8.30,5.00%,8.50%,17.21 - 31.76,-12.89%,0.76,22.46,13.70%,20.70%,-14.06%,1.33,2.78%,-,11.50%,-,58.60%,0.74,4693,-,0.90%,85.20%,51.63,2.10% 2.53%,Yes,0.11,10.60%,27.10%,0.58,27.36,Yes,0.11,Oct 19 AMC,35.10%,393.99K,27.30,2.70,-1.12%,4.43%,21.73%,"155,355",-0.24%,large,2870000000.0
by,12-18-2020,-,14.71,1.05,0.30%,38.06M,-0.32%,601.16M,13.60,1.14,-51.31%,23.54M,0.78%,40.20M,1.47,0.28,39.90%,1.06%,36.97%,245.20M,2.45,30.00%,0.54%,3.82,24.20%,20.61,0.75,23.48%,0.70%,18.90,-21.05%,3.55,4.35,10.00%,5.30%,8.13 - 20.73,-21.05%,0.12,56.18,103.20%,22.60%,-25.45%,1.41,0.78%,-,24.20%,-,90.10%,0.47,1001,-,-18.00%,75.30%,49.05,2.52% 2.72%,No,0.14,-14.50%,16.40%,0.32,15.45,Yes,0.14,Oct 22 AMC,11.30%,64.94K,15.45,2.20,-2.25%,2.71%,21.94%,"14,226",0.03%,small,601160000.0
byd,12-18-2020,-,-,-1.71,1.70%,113.52M,-0.85%,4.70B,19.35,2.18,-28.53%,81.00M,9.61%,-193.70M,-,0.51,70.10%,6.37%,37.47%,2.38B,1.98,38.80%,0.85%,4.06,108.35%,9.20,4.59,1657.10%,-2.80%,44.64,40.92%,4.54,9.30,17.17%,-17.50%,6.44 - 43.81,40.92%,-,48.96,34.80%,7.80%,-1.32%,2.24,-,1.20,9.20%,50.20%,571.27%,1.31,24300,1.20,-20.40%,-0.70%,66.94,2.09% 3.33%,Yes,3.82,-3.20%,-8.20%,0.53,42.19,Yes,3.79,Oct 26 AMC,-,1.27M,43.23,2.10,3.07%,14.59%,66.22%,"459,009",2.47%,large,4700000000.0
byfc,12-18-2020,-,-,-0.01,26.60%,27.22M,0.00%,37.00M,-,-,0.00%,5.40M,6.98%,-0.10M,-,-,10.30%,1.17%,9.52%,18.10M,2.04,-125.30%,57.72%,0.11,-18.58%,1.81,1.02,-,0.00%,-,21.85%,3.64,0.50,-,-0.30%,1.04 - 7.23,19.48%,-,-,-15.60%,20.40%,-74.69%,0.99,-,-,1.40%,-,75.97%,0.10,62,-,15.00%,65.70%,54.80,5.91% 5.07%,No,0.07,13.00%,-0.70%,0.43,1.84,Yes,0.07,-,-,557.08K,1.83,-,2.96%,5.34%,8.95%,"162,132",-0.54%,small,37000000.0
bym,12-18-2020,-,35.36,0.43,-,26.41M,2.18%,396.89M,-,-,-,-,2.73%,-,-,-,31.77%,-,5.55%,25.61M,15.50,-,-,0.34,8.52%,15.57,0.97,-,-,-,6.98%,-,-,-,-,10.41 - 15.09,6.98%,0.70,-,-,-,0.33%,-,4.66%,-,-,-,45.44%,0.14,-,-,-2.40%,-,68.26,1.07% 0.89%,No,-,-,-,1.74,15.03,Yes,-,-,-,57.60K,15.14,-,1.91%,3.97%,8.46%,"67,740",0.73%,small,396890000.0
bynd,12-18-2020,-,-,-0.45,3.00%,62.49M,-8.79%,8.12B,540.56,0.23,-22.08%,54.97M,-9.59%,-28.10M,-,-0.12,43.90%,24.62%,-23.83%,403.30M,20.13,42.60%,33.07%,3.47,-10.70%,6.07,20.84,174.20%,-5.80%,115.58,67.31%,3.34,37.83,-,-7.30%,48.18 - 197.50,67.31%,-,-,-,-0.10%,-36.61%,-,-,5.70,-,32.30%,159.85%,5.70,472,8.60,2.60%,-6.40%,33.03,4.81% 4.08%,Yes,0.13,-597.10%,-7.00%,0.69,126.49,Yes,0.13,Nov 09 AMC,-,3.90M,125.19,2.90,-8.73%,-12.27%,-4.77%,"1,819,060",-1.02%,large,8119999999.999999
bysi,12-18-2020,-,-,-2.04,71.55%,30.30M,16.42%,534.51M,-,-2.55,0.00%,11.14M,18.60%,-57.50M,-,-0.43,5.50%,8.29%,-0.38%,-,-,36.20%,-10.78%,2.35,-10.47%,0.79,16.78,-32.80%,-140.00%,-,-14.45%,0.77,17.30,-,-220.70%,9.38 - 21.50,-14.45%,-,-,-48.10%,-,-43.58%,0.58,-,2.80,-,-,29.32%,0.75,61,2.80,-,-,53.15,7.30% 6.13%,Yes,0.09,-29.60%,-,0.98,13.26,Yes,0.09,-,-,392.81K,12.13,1.30,8.70%,-4.78%,-11.93%,"261,432",-8.52%,small,534510000.0
bzh,12-18-2020,-,8.61,1.79,4.30%,29.60M,-4.76%,470.93M,6.37,2.42,-5.85%,27.90M,4.05%,53.30M,2.15,0.30,77.30%,4.12%,16.74%,2.13B,0.22,168.60%,-0.32%,2.89,59.69%,20.04,0.77,21.00%,2.50%,18.50,9.06%,10.72,1.44,4.00%,9.30%,4.39 - 17.23,9.06%,-,1.69,-30.40%,3.50%,-11.90%,2.28,-,-,5.50%,16.50%,246.08%,0.61,1063,-,-12.20%,3.70%,49.22,4.05% 4.01%,Yes,1.91,897.50%,2.50%,0.38,15.41,Yes,1.91,Nov 12 AMC,0.00%,396.73K,15.18,2.00,-1.70%,4.93%,37.04%,"102,014",-1.49%,small,470930000.0
bzm,12-18-2020,-,-,-0.01,-,2.08M,-1.78%,32.11M,-,-,-,-,-2.22%,-,-,-,6.93%,-,10.07%,1.87M,17.19,-,-,0.41,13.56%,15.13,1.02,-,-,-,2.26%,-,-,-,-,11.33 - 18.74,-0.62%,0.55,-,-,-,-17.87%,-,3.57%,-,-,-,35.84%,0.48,-,-,-4.10%,-,46.95,0.65% 3.04%,No,-,-,-,0.51,15.42,No,-,-,-,4.83K,15.39,-,-3.65%,1.90%,9.07%,"1,656",-0.20%,small,32110000.0
bzun,12-18-2020,-,40.29,0.84,0.82%,59.03M,-1.43%,5.99B,19.96,1.69,0.00%,41.11M,-9.36%,50.10M,8.34,0.54,61.10%,18.50%,3.66%,1.27B,4.72,4.50%,0.16%,7.43,-13.13%,14.67,2.30,33.25%,4.40%,44.00,1.69%,3.88,8.69,4.83%,9.70%,22.19 - 47.51,1.69%,-,-,25.70%,6.00%,-28.86%,1.25,-,3.90,35.70%,62.60%,52.32%,1.68,5979,4.40,21.70%,5.40%,43.28,4.09% 4.05%,Yes,0.45,62.60%,4.00%,1.30,33.68,Yes,0.32,Nov 23 BMO,0.00%,1.02M,33.80,1.90,-4.75%,-9.76%,-4.79%,"900,042",0.36%,large,5990000000.0
c,12-18-2020,S&P 500,11.89,5.12,0.25%,2.08B,2.70%,127.15B,10.07,6.05,0.24%,2.08B,10.51%,10.87B,-,1.26,76.40%,1.22%,41.17%,63.59B,2.00,20.90%,-3.07%,1.06,20.87%,84.49,0.72,44.64%,0.50%,69.98,-23.82%,460.69,0.13,-6.90%,6.20%,32.00 - 83.11,-23.82%,2.04,-,29.50%,8.30%,-26.42%,1.94,3.35%,-,4.40%,-,91.09%,1.55,209000,-,-30.60%,50.10%,65.03,1.87% 2.43%,Yes,1.47,-32.50%,17.00%,0.39,60.86,Yes,1.47,Jan 15 BMO,39.80%,23.80M,61.15,2.00,2.84%,16.77%,25.09%,"6,350,002",0.48%,large,127150000000.0
caap,12-18-2020,-,-,-0.81,82.15%,160.02M,3.91%,656.79M,-,-0.81,0.00%,28.57M,27.07%,-128.80M,-,-0.33,5.70%,1.30%,78.92%,1.23B,0.54,26.80%,-1.18%,0.57,66.25%,4.20,0.95,37.70%,-3.50%,4.60,-33.50%,1.40,2.85,28.30%,-17.50%,1.61 - 6.50,-33.50%,-,-,-,6.00%,-39.23%,-,-,0.70,-,18.50%,145.34%,0.31,6299,0.70,-88.50%,-2.30%,56.49,4.67% 9.56%,Yes,1.71,-182.20%,-10.50%,0.31,3.99,Yes,1.31,Nov 18 AMC,-,655.26K,3.95,3.40,-3.02%,26.12%,54.67%,"140,894",-1.00%,small,656790000.0
caas,12-18-2020,-,-,0.00,0.30%,31.11M,-8.55%,199.77M,17.53,0.36,-34.49%,11.60M,-39.90%,0.00M,-,0.01,3.10%,5.39%,113.18%,387.10M,0.52,321.50%,8.75%,0.24,102.24%,9.42,0.67,820.00%,0.00%,4.00,100.32%,-,-,10.00%,0.00%,1.42 - 13.69,100.32%,-,3.37,-22.80%,1.30%,-54.72%,3.36,-,1.10,-1.60%,12.80%,335.09%,0.87,4039,1.40,13.80%,-1.60%,49.51,6.20% 11.89%,Yes,0.17,-44.70%,0.00%,0.09,6.31,Yes,0.00,Nov 12 BMO,-,2.57M,6.20,4.00,-11.67%,23.89%,100.83%,"164,291",-1.74%,small,199770000.0
caba,12-18-2020,-,-,-1.24,3.30%,23.26M,-4.52%,304.17M,-,-2.25,-26.67%,22.80M,-17.67%,-29.40M,-,-0.36,68.60%,5.96%,13.01%,-,-,-71.30%,-0.65%,17.26,8.60%,5.05,2.43,-61.90%,-22.40%,20.00,-12.31%,4.70,2.60,-,-23.00%,5.51 - 19.63,-12.31%,-,-,-,-,-38.69%,-,-,28.00,-,-,118.42%,0.91,31,28.00,-,-,35.28,4.53% 6.60%,No,0.00,-75.00%,-,2.23,12.25,Yes,0.00,-,-,78.69K,12.03,2.00,-14.54%,-10.67%,14.26%,"119,692",-1.76%,small,304170000.0
cabo,12-18-2020,-,52.38,42.96,0.20%,6.00M,0.21%,13.39B,47.99,46.89,-34.89%,5.42M,13.61%,251.80M,3.12,11.74,85.00%,1.86%,19.35%,1.31B,10.24,8.20%,-0.08%,2.75,26.56%,230.67,9.76,3.12%,7.20%,1913.57,51.18%,105.09,21.41,16.80%,23.10%,1031.39 - 2326.80,51.18%,10.00,603.10,4.30%,9.90%,-4.37%,0.52,0.44%,3.30,7.50%,67.70%,115.74%,52.88,2751,3.30,18.90%,28.20%,62.41,2.02% 2.57%,No,1.25,26.20%,19.30%,1.08,2250.24,Yes,1.22,Nov 05 AMC,21.30%,36.67K,2225.13,3.00,2.50%,10.71%,21.21%,"27,001",-1.12%,large,13390000000.0
cac,12-18-2020,-,9.52,3.73,0.80%,14.96M,2.13%,531.58M,11.45,3.10,0.00%,14.53M,3.38%,56.30M,-,0.93,67.40%,2.42%,17.49%,159.60M,3.33,9.10%,-3.57%,9.98,7.67%,34.59,1.03,-15.30%,1.20%,37.00,-22.90%,24.03,1.48,-,11.30%,25.74 - 48.48,-22.90%,1.32,5315.85,11.10%,20.70%,-26.36%,0.98,3.72%,-,13.80%,-,38.72%,0.95,639,-,-8.90%,83.30%,50.90,2.08% 2.32%,Yes,0.11,18.70%,35.30%,0.20,35.51,Yes,0.11,Oct 27 BMO,34.50%,35.20K,35.70,3.00,-0.79%,2.03%,9.21%,"4,858",0.54%,small,531580000.00000006
cacc,12-18-2020,-,14.92,22.88,12.30%,17.85M,3.82%,6.21B,13.44,25.40,-2.62%,12.39M,14.35%,416.60M,0.74,6.92,72.70%,19.03%,0.79%,1.61B,3.86,17.70%,-0.69%,13.74,-18.81%,129.37,2.64,19.69%,5.70%,299.50,-22.84%,0.49,697.58,20.03%,19.20%,199.00 - 539.00,-22.84%,-,6.36,23.70%,12.40%,-36.64%,1.19,-,-,15.50%,-,71.61%,11.47,2016,-,12.60%,46.40%,58.35,3.44% 3.39%,Yes,2.00,55.40%,25.90%,0.22,341.31,Yes,2.00,Oct 29 AMC,0.00%,171.56K,341.51,3.30,2.35%,6.24%,-5.32%,"25,855",0.06%,large,6210000000.0
caci,12-18-2020,-,18.21,13.63,1.40%,25.10M,0.88%,6.31B,15.38,16.13,-3.13%,24.74M,4.56%,347.10M,1.58,3.58,89.40%,1.40%,16.40%,5.82B,1.08,21.80%,0.16%,2.21,13.56%,110.43,2.25,7.48%,6.20%,284.00,-0.75%,4.91,50.50,11.49%,13.20%,156.15 - 288.59,-0.75%,-,11.98,19.50%,9.30%,-14.00%,1.09,-,1.40,11.50%,35.00%,58.94%,4.58,22900,1.50,7.00%,8.50%,60.22,1.49% 1.91%,Yes,0.58,38.00%,6.00%,0.18,248.11,Yes,0.57,Oct 28 AMC,0.00%,157.13K,248.18,1.90,1.11%,6.01%,9.43%,"19,836",0.03%,large,6310000000.0
cade,12-18-2020,-,-,-2.81,1.30%,125.96M,6.52%,2.09B,11.06,1.49,-3.27%,121.75M,18.29%,-354.80M,-,0.39,93.30%,4.68%,91.97%,748.00M,2.79,-20.70%,1.01%,4.60,101.84%,16.45,1.00,225.55%,-2.00%,16.72,-9.05%,10.45,1.58,-,-16.30%,4.63 - 18.24,-9.05%,0.30,4.43,25.60%,17.60%,-9.10%,1.91,1.82%,-,24.50%,-,258.10%,0.55,1849,-,-20.00%,42.90%,69.88,3.85% 3.22%,Yes,0.13,14.60%,-47.40%,0.18,16.49,Yes,0.13,Oct 21 BMO,-,1.24M,16.58,2.20,7.97%,18.63%,74.89%,"152,887",0.55%,large,2089999999.9999998
cae,12-18-2020,-,161.16,0.17,1.10%,265.78M,6.66%,7.93B,36.49,0.76,0.00%,265.49M,14.50%,46.90M,-,0.13,73.30%,1.06%,90.70%,2.46B,3.23,-5.50%,-0.40%,6.78,78.15%,6.63,4.21,132.22%,0.80%,19.03,5.37%,0.71,39.47,-8.72%,2.60%,9.80 - 31.56,5.37%,-,33.98,9.00%,8.00%,-12.07%,1.72,-,0.70,10.00%,28.60%,183.16%,0.79,10500,1.10,-21.40%,6.90%,69.67,1.95% 2.86%,Yes,1.16,-107.10%,1.90%,0.37,27.88,Yes,1.05,Nov 10 BMO,124.80%,414.49K,27.75,2.40,7.72%,21.60%,62.65%,"106,163",-0.47%,large,7930000000.0
caf,12-18-2020,-,-,-,-,21.88M,3.96%,482.05M,-,-,-,-,2.90%,-,-,-,61.77%,-,14.11%,-,-,-,-,0.60,21.10%,-,-,-,-,-,10.95%,-,-,-,-,14.42 - 22.40,10.95%,0.23,-,-,-,-1.05%,-,1.04%,-,-,-,53.72%,0.34,-,-,-,-,61.88,1.59% 1.28%,Yes,-,-,-,0.77,22.03,Yes,-,-,-,68.30K,22.16,-,1.55%,4.38%,16.29%,"35,804",0.59%,small,482050000.0
cag,12-18-2020,S&P 500,17.75,2.04,0.30%,488.20M,0.39%,17.66B,13.93,2.59,-19.81%,486.51M,-1.18%,995.30M,2.54,0.73,84.80%,1.83%,1.18%,11.34B,1.56,12.60%,0.86%,3.24,1.29%,16.64,2.17,3.27%,4.50%,38.44,5.52%,0.90,40.31,7.00%,12.70%,22.83 - 39.34,5.52%,1.10,16.09,10.80%,7.20%,-8.92%,0.85,3.04%,0.40,4.10%,28.70%,56.94%,0.58,16500,0.90,12.10%,15.10%,47.71,1.28% 1.60%,Yes,1.18,88.50%,8.80%,0.30,36.13,Yes,1.10,Jan 07 BMO,41.70%,2.75M,35.83,2.40,0.00%,-0.45%,2.37%,"563,422",-0.83%,large,17660000000.0
cah,12-18-2020,S&P 500,16.14,3.31,0.40%,293.00M,-0.26%,15.71B,8.68,6.16,0.00%,292.90M,-2.02%,973.00M,3.18,1.44,87.50%,1.63%,13.93%,154.65B,0.10,-378.60%,-0.94%,2.34,3.50%,4.85,11.03,5.07%,2.40%,61.75,5.75%,9.35,5.72,5.08%,71.90%,39.05 - 60.69,5.75%,1.94,8.13,-40.60%,-47.10%,-12.93%,1.06,3.63%,0.60,8.30%,4.50%,35.32%,1.19,48000,1.10,4.60%,0.30%,43.85,1.58% 2.22%,Yes,4.74,94.80%,0.60%,0.34,53.49,Yes,4.73,Nov 05 BMO,58.00%,2.04M,52.84,2.60,-3.37%,-0.19%,3.16%,"469,828",-1.21%,large,15710000000.0
cai,12-18-2020,-,18.12,1.72,0.20%,17.57M,-3.53%,559.50M,6.41,4.87,-22.47%,16.44M,-1.52%,30.30M,2.27,1.13,87.40%,2.77%,13.22%,329.90M,1.70,-37.20%,-,2.99,89.37%,33.87,0.92,34.17%,0.40%,39.00,7.56%,2.36,13.23,8.00%,2.10%,10.13 - 35.76,7.56%,1.00,2.13,-3.70%,4.90%,-13.12%,1.77,3.21%,0.80,12.80%,92.00%,206.71%,1.55,218,0.80,-2.80%,34.30%,47.04,5.04% 4.82%,Yes,3.71,296.50%,3.80%,1.73,31.17,Yes,2.87,Oct 29 AMC,109.50%,151.97K,31.07,1.70,-4.07%,0.40%,40.37%,"179,333",-0.32%,small,559500000.0
caj,12-18-2020,-,34.04,0.57,-,1.05B,-1.42%,25.53B,19.22,1.01,-,1.03B,9.25%,603.40M,34.04,0.28,1.30%,0.16%,16.76%,30.59B,0.83,-50.10%,-1.57%,3.61,-0.67%,23.09,0.84,99.21%,1.30%,15.71,-29.18%,3.67,5.28,1.00%,2.40%,15.46 - 28.18,-29.18%,0.75,56.58,-12.60%,3.80%,-31.05%,0.44,3.87%,1.10,-0.70%,43.70%,25.68%,0.36,187041,1.70,-12.70%,2.70%,53.42,1.42% 1.12%,Yes,0.23,-36.10%,2.00%,0.43,19.37,No,0.14,-,-,458.00K,19.43,-,-0.49%,5.03%,2.55%,"135,326",0.31%,large,25530000000.0
cake,12-18-2020,-,-,-4.36,7.09%,43.90M,-1.51%,1.68B,23.73,1.54,0.00%,42.35M,-2.69%,-191.10M,-,0.08,99.00%,25.52%,31.47%,2.12B,0.79,33.40%,-2.53%,9.19,67.68%,7.34,4.97,240.00%,-6.80%,33.82,-6.15%,5.31,6.87,-7.04%,-45.90%,14.52 - 43.00,-6.15%,-,-,7.80%,10.50%,-13.05%,1.72,-,0.70,4.70%,76.90%,157.51%,1.42,46250,0.80,-11.70%,-14.20%,53.76,3.15% 3.96%,Yes,1.17,-307.60%,-9.00%,0.55,36.47,Yes,1.17,Oct 29 AMC,-,1.18M,37.39,2.70,-0.05%,5.89%,39.97%,"439,169",2.52%,large,1680000000.0
cal,12-18-2020,-,-,-9.77,1.20%,36.55M,14.65%,575.31M,9.56,1.58,-3.18%,36.10M,28.29%,-361.70M,-,0.04,82.20%,4.71%,57.95%,2.25B,0.26,783.00%,-5.45%,2.88,90.66%,7.02,2.15,212.10%,-32.20%,14.67,-36.42%,3.26,4.63,15.00%,-198.40%,3.12 - 24.11,-36.42%,0.28,7.57,-4.20%,7.80%,-36.37%,2.42,1.85%,0.40,2.60%,37.40%,391.67%,0.78,11400,0.90,-18.30%,-38.10%,74.21,4.92% 5.41%,Yes,1.94,-45.00%,-31.50%,0.71,15.10,Yes,0.77,Nov 19 AMC,-,591.65K,15.34,2.20,15.53%,33.59%,79.60%,"286,076",1.59%,small,575310000.0
cala,12-18-2020,-,-,-1.39,0.72%,70.56M,-0.58%,374.05M,-,-1.19,-0.46%,70.05M,4.07%,-89.30M,-,-0.32,81.20%,2.88%,48.12%,-,-,-27.30%,-4.00%,3.14,-2.48%,1.74,2.94,8.50%,-56.60%,-,-10.51%,1.88,2.71,-,-66.60%,2.99 - 8.18,-10.51%,-,-,16.50%,-,-39.43%,1.78,-,7.10,-,-,65.72%,0.34,93,7.10,-,-,50.22,6.23% 7.16%,Yes,0.00,14.60%,-,2.00,5.11,Yes,0.00,Nov 05 AMC,-,641.72K,4.95,1.30,-1.73%,9.66%,2.06%,"877,319",-3.03%,small,374050000.0
calm,12-18-2020,-,41.16,0.91,7.10%,48.50M,0.86%,1.85B,22.80,1.64,-66.33%,37.34M,-4.27%,44.80M,0.58,-0.08,89.30%,13.20%,-2.37%,1.40B,1.32,-66.10%,20.73%,15.49,-14.75%,20.45,1.83,111.18%,3.90%,49.67,-12.37%,3.92,9.56,71.00%,4.60%,30.74 - 46.66,-12.37%,0.27,-,-35.30%,0.00%,-21.00%,-0.22,0.73%,3.60,-3.00%,15.60%,19.91%,0.93,3636,6.10,21.40%,2.70%,39.65,2.32% 2.53%,Yes,0.00,57.70%,3.20%,1.08,37.46,Yes,0.00,Sep 28 BMO,0.00%,318.25K,36.86,2.20,-2.40%,-4.47%,-10.28%,"235,040",-1.60%,large,1850000000.0
calt,12-18-2020,-,-,-,-,24.97M,1.77%,848.26M,-,-0.70,-,15.11M,-7.31%,-,-,-0.45,11.38%,0.04%,41.54%,-,-,-,-,0.12,43.91%,-,-,44.40%,-,48.00,-,-,-,-,-,19.00 - 38.00,73.32%,-,-,-,-,-10.32%,-,-,-,-,-,79.37%,0.93,23,-,-,-,56.35,1.92% 2.21%,No,-,-,-,0.01,33.97,Yes,-,-,-,56.18K,34.08,1.20,0.78%,8.95%,31.34%,468,0.32%,small,848260000.0
calx,12-18-2020,-,220.96,0.14,2.20%,60.31M,-8.52%,1.87B,37.66,0.80,-1.25%,53.00M,26.90%,9.90M,11.05,0.33,74.80%,5.44%,69.01%,491.40M,3.80,12.30%,7.54%,3.00,106.96%,4.10,7.33,-7.64%,2.90%,31.20,275.62%,1.67,17.98,20.00%,5.60%,5.61 - 33.05,275.62%,-,124.45,4.70%,-8.80%,-9.77%,1.48,-,2.00,1.10%,47.40%,431.55%,1.40,763,2.40,31.40%,2.80%,58.71,4.23% 5.82%,Yes,0.02,631.30%,2.00%,0.30,30.05,Yes,0.00,Oct 20 AMC,0.00%,961.82K,29.82,1.80,5.93%,15.50%,68.14%,"197,686",-0.77%,large,1870000000.0
camp,12-18-2020,-,-,-3.03,2.40%,34.60M,6.02%,333.21M,22.59,0.44,0.43%,34.06M,8.22%,-103.40M,-,0.05,76.50%,3.55%,37.27%,339.00M,0.98,-551.80%,0.51%,5.37,24.46%,2.87,3.44,270.34%,-21.80%,11.90,3.03%,-,-,12.00%,-85.90%,3.70 - 11.29,3.03%,-,19.60,-48.50%,-18.10%,-13.46%,2.48,-,1.70,7.90%,38.40%,164.05%,0.47,1080,2.00,-8.90%,-18.10%,51.90,4.19% 4.82%,Yes,1.87,-212.20%,-30.50%,0.63,9.87,Yes,1.82,Dec 17 BMO,-,225.17K,9.77,2.30,-2.22%,8.49%,26.66%,"97,416",-1.01%,small,333210000.0
camt,12-18-2020,-,46.19,0.47,62.70%,39.18M,6.89%,930.27M,29.86,0.73,0.00%,25.08M,15.17%,18.70M,3.08,0.19,27.80%,1.40%,41.16%,140.40M,6.63,6.30%,0.93%,1.81,75.93%,3.93,5.52,15.95%,10.00%,20.50,100.46%,2.47,8.78,15.00%,13.00%,6.26 - 21.90,100.46%,0.17,-,37.70%,14.70%,-0.91%,1.64,0.78%,3.20,8.70%,46.80%,246.37%,0.84,322,4.00,23.40%,13.70%,63.61,5.21% 4.01%,Yes,0.00,42.00%,13.30%,1.00,21.71,Yes,0.00,Oct 27 BMO,0.00%,193.58K,21.70,2.20,7.20%,12.61%,47.16%,"132,220",-0.05%,small,930270000.0
can,12-18-2020,-,-,-0.91,-,156.67M,5.80%,693.18M,-,-,-,131.33M,-12.40%,-143.90M,-,-,7.50%,3.81%,134.22%,133.40M,5.20,-945.00%,205.72%,0.88,132.98%,0.53,8.26,-,-104.60%,-,-28.20%,0.37,11.87,-,-148.10%,1.76 - 8.69,-28.20%,-,-,-,-128.60%,-31.76%,-,-,3.80,-,-73.90%,236.93%,0.62,333,4.10,-75.70%,-,71.00,12.29% 12.52%,No,0.09,-192.20%,-,14.32,4.38,Yes,0.00,Nov 30 BMO,-,5.67M,5.93,-,53.37%,75.10%,104.70%,"55,470,469",35.39%,small,693180000.0
canf,12-18-2020,-,-,-1.47,1.19%,15.41M,-0.54%,28.21M,-,-0.68,0.00%,14.76M,-3.68%,-,-,-0.26,7.72%,1.73%,3.39%,0.81M,35.04,62.70%,-,0.56,-5.67%,0.63,2.90,44.70%,-,-,-44.55%,-,-,-,-,1.08 - 4.00,-44.55%,-,-,-,-,-55.88%,-,-,-,-,-,63.39%,0.10,8,-,-81.70%,-,41.22,4.20% 5.47%,No,-,-,-,0.74,1.83,Yes,-,Nov 30 BMO,-,456.60K,1.76,2.00,-5.41%,-3.14%,-6.69%,"229,771",-3.57%,small,28210000.0
cang,12-18-2020,-,2.11,3.71,-,74.85M,8.01%,1.21B,16.12,0.49,-,41.04M,-8.86%,291.50M,0.19,0.15,32.60%,0.06%,40.90%,207.30M,5.85,19.60%,0.07%,0.11,37.19%,14.17,0.55,20.95%,21.10%,6.60,-14.54%,2.53,3.10,11.11%,32.90%,4.20 - 14.00,-14.54%,0.25,-,-,3.00%,-48.07%,-,3.20%,2.20,-,60.80%,73.10%,0.97,3189,2.20,23.80%,14.70%,48.41,14.17% 8.73%,No,0.34,1403.80%,-,6.30,7.82,Yes,0.10,Nov 23 AMC,0.00%,201.51K,7.27,3.00,-3.98%,6.04%,27.68%,"867,639",-7.03%,large,1210000000.0
capl,12-18-2020,-,6.08,2.82,0.60%,37.87M,-0.41%,650.25M,21.55,0.80,0.80%,19.23M,-0.06%,102.50M,3.04,0.14,39.60%,0.27%,15.20%,1.89B,0.34,375.80%,-1.43%,1.04,23.59%,3.17,5.40,-71.66%,10.50%,16.00,-5.10%,0.03,500.20,2.00%,91.40%,6.81 - 19.79,-5.10%,2.10,11.10,29.10%,7.20%,-13.19%,2.22,12.26%,0.40,-4.20%,10.10%,152.28%,0.49,179,0.60,5.60%,6.20%,54.24,2.49% 2.86%,Yes,4.37,174.40%,5.40%,0.58,17.13,Yes,4.35,Nov 04 AMC,74.60%,50.93K,17.18,3.00,-0.08%,5.46%,18.92%,"20,359",0.29%,small,650250000.0
capr,12-18-2020,-,-,-1.07,0.50%,20.45M,-6.80%,75.41M,-,-1.01,0.00%,19.93M,-11.90%,-10.90M,-,-0.20,6.10%,3.84%,-29.52%,0.50M,150.81,60.10%,34.23%,1.54,-21.61%,1.54,2.40,-14.80%,-44.40%,-,189.06%,1.73,2.14,-,-55.80%,0.88 - 12.32,189.06%,-,-,17.30%,-75.80%,-72.03%,6.68,-,15.60,-26.80%,-,291.59%,0.26,16,15.60,-88.10%,-,29.18,8.22% 6.11%,Yes,0.12,53.90%,-,1.78,3.70,Yes,0.12,Nov 12 AMC,-,495.77K,3.45,2.00,-16.55%,-17.94%,-26.30%,"605,685",-6.86%,small,75410000.0
car,12-18-2020,-,-,-6.52,0.30%,69.70M,8.42%,2.59B,12530.00,0.00,-,68.42M,6.88%,-452.00M,-,-0.48,-,18.01%,42.82%,6.21B,0.42,93.70%,-2.44%,6.09,67.22%,-1.09,-,100.00%,-2.10%,41.17,16.59%,22.68,1.66,-2.10%,-251.50%,6.35 - 52.98,16.59%,-,2.27,12.40%,4.90%,-28.76%,2.31,-,1.20,1.60%,42.40%,494.41%,1.87,30000,1.20,-44.30%,-6.60%,53.83,4.52% 5.08%,Yes,-,-74.30%,-7.30%,0.28,37.59,Yes,-,Oct 29 AMC,-,2.02M,37.74,2.30,0.48%,3.79%,38.99%,"388,879",0.41%,large,2590000000.0
