stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
aaon,12-18-2020,-,46.17,1.44,16.60%,52.26M,3.37%,3.46B,51.15,1.30,-0.44%,41.32M,2.09%,76.10M,3.85,0.29,72.80%,9.03%,10.36%,520.40M,6.65,27.00%,1.05%,20.98,26.19%,6.60,10.07,-8.77%,18.60%,35.00,34.57%,-,-,12.00%,24.10%,40.48 - 69.41,34.57%,0.38,56.99,5.10%,18.10%,-4.19%,0.67,0.57%,2.40,5.70%,30.40%,64.28%,1.97,2290,3.70,18.80%,18.80%,62.12,3.79% 2.97%,Yes,0.02,42.00%,14.60%,0.58,66.49,Yes,0.02,Nov 05 AMC,24.00%,177.93K,66.50,3.50,4.05%,4.78%,17.55%,"52,312",0.02%,large,3460000000.0
aap,12-18-2020,S&P 500,22.94,6.87,0.20%,68.97M,-1.09%,10.61B,16.59,9.50,0.00%,67.60M,6.74%,476.90M,1.93,1.96,-,4.38%,2.71%,9.85B,1.08,21.10%,-0.78%,3.27,11.07%,54.56,2.89,10.68%,4.00%,175.13,-1.56%,15.88,9.93,11.90%,13.10%,71.33 - 170.50,-1.56%,1.00,17.16,0.40%,12.30%,-7.93%,1.27,0.63%,0.40,-0.30%,43.90%,120.08%,3.47,39000,1.40,9.90%,6.90%,51.32,1.87% 2.32%,Yes,0.00,21.70%,4.80%,0.45,157.66,Yes,0.27,Nov 10 BMO,12.60%,904.91K,156.98,2.30,-0.12%,2.12%,11.15%,"209,428",-0.43%,large,10610000000.0
aapl,12-18-2020,DJIA S&P500,40.93,3.27,0.07%,17.06B,1.40%,2256.08B,30.83,4.34,-6.93%,16.99B,12.32%,57.41B,3.24,1.39,59.80%,0.56%,15.46%,274.52B,8.22,10.20%,-,0.82,46.90%,3.83,34.91,9.27%,17.60%,127.11,82.15%,5.39,24.81,12.64%,75.20%,53.15 - 138.79,82.15%,0.82,38.06,7.30%,31.70%,-4.57%,1.28,0.61%,1.30,3.30%,38.20%,149.17%,3.22,147000,1.40,1.00%,24.10%,62.11,2.24% 2.29%,Yes,1.73,-3.00%,20.90%,0.84,133.72,Yes,1.52,Oct 29 AMC,24.10%,114.97M,132.44,2.00,4.08%,9.70%,32.15%,"49,060,382",-0.96%,large,2256080000000.0
aat,12-18-2020,-,45.02,0.63,0.90%,59.83M,0.93%,1.69B,33.56,0.85,-,59.37M,-1.15%,37.60M,15.01,0.14,97.10%,1.24%,17.73%,362.20M,4.66,101.50%,0.14%,2.27,0.82%,21.41,1.32,52.25%,1.30%,27.60,-38.21%,2.61,10.88,3.00%,2.90%,20.15 - 48.15,-38.21%,1.00,-,10.50%,4.30%,-41.08%,1.22,3.53%,-,7.10%,65.10%,40.79%,0.94,199,-,-14.20%,28.20%,49.49,2.84% 2.87%,Yes,1.10,-61.20%,10.40%,0.12,28.36,Yes,1.10,Oct 27 AMC,166.80%,323.43K,28.37,2.80,-2.58%,5.20%,7.16%,"19,895",0.04%,large,1690000000.0
aau,12-18-2020,-,-,-0.02,7.20%,119.16M,-2.49%,58.98M,-,-0.02,0.00%,114.95M,-53.53%,-2.50M,-,-0.01,5.90%,0.46%,-42.56%,-,-,-3.20%,44.19%,0.44,-4.93%,0.47,1.01,-,-4.20%,-,-19.52%,0.02,21.85,-,-4.60%,0.21 - 1.24,-19.52%,-,-,31.70%,-,-62.79%,1.14,-,9.50,-,-,117.54%,0.07,12,9.50,-,-,29.55,6.30% 11.47%,Yes,0.04,81.30%,-,1.22,0.47,Yes,0.04,-,-,1.20M,0.46,-,-28.77%,-47.74%,-29.02%,"746,376",-2.66%,small,58980000.0
aaww,12-18-2020,-,-,-9.16,1.40%,26.14M,-2.67%,1.49B,6.32,8.64,-29.17%,25.57M,-2.15%,-233.90M,-,3.50,-,11.32%,-10.33%,3.03B,0.49,-218.60%,-0.78%,6.06,24.45%,77.19,0.71,-28.91%,-4.20%,79.50,98.08%,26.27,2.08,10.00%,-12.40%,14.97 - 69.08,98.08%,-,1.82,-36.10%,-5.00%,-20.89%,1.36,-,1.00,8.80%,57.70%,265.06%,1.72,3587,1.00,24.90%,-9.70%,44.86,2.57% 3.23%,Yes,1.17,19.90%,-7.70%,0.41,54.61,Yes,1.03,Nov 05 BMO,-,478.03K,54.65,1.70,-1.40%,-4.02%,13.16%,"100,456",0.07%,large,1490000000.0
aaxn,12-18-2020,-,-,-0.66,1.10%,63.50M,-3.60%,7.94B,96.03,1.29,-31.76%,62.72M,-1.44%,-39.90M,-,0.35,88.40%,4.97%,36.58%,626.70M,12.66,-97.10%,3.73%,5.80,24.67%,14.10,8.79,16.22%,-3.80%,120.75,69.05%,7.91,15.66,18.80%,-5.60%,50.05 - 134.73,69.05%,-,-,-47.40%,-1.40%,-9.03%,0.63,-,3.00,26.40%,58.70%,144.89%,4.74,1323,3.40,27.20%,-5.50%,48.31,4.12% 3.65%,Yes,0.00,-113.50%,-6.40%,0.40,123.88,Yes,0.00,Nov 05 AMC,-,537.28K,122.57,2.20,-2.16%,3.36%,32.15%,"109,206",-1.06%,large,7940000000.0
ab,12-18-2020,-,12.07,2.75,6.37%,96.35M,-0.42%,3.20B,10.86,3.06,-0.15%,90.15M,4.27%,266.20M,1.10,0.76,19.40%,0.26%,22.89%,294.90M,10.84,-0.70%,-5.09%,0.51,24.83%,15.51,2.14,13.41%,17.60%,34.21,9.81%,0.00,-,11.01%,17.60%,13.24 - 36.06,9.81%,2.76,-,6.40%,15.40%,-6.38%,1.53,8.31%,-,5.80%,-,154.98%,0.73,3811,-,10.80%,100.00%,60.89,1.61% 2.44%,Yes,0.00,12.00%,90.30%,0.64,33.23,Yes,0.00,Oct 22 BMO,99.20%,457.54K,33.76,2.10,2.39%,5.73%,24.60%,"150,472",1.59%,large,3200000000.0
abb,12-18-2020,-,125.25,0.22,-,2.12B,3.14%,60.05B,-,-,-,1.95B,6.04%,481.00M,8.58,-,4.80%,0.28%,9.74%,26.02B,2.31,-27.90%,20.03%,3.26,20.08%,7.90,3.54,-,12.00%,24.61,15.94%,4.02,6.96,14.60%,41.10%,14.71 - 28.11,15.94%,0.83,34.19,-15.30%,5.20%,-0.64%,1.09,2.97%,1.10,-6.80%,30.70%,89.87%,0.38,144400,1.40,-4.50%,6.40%,64.31,1.01% 1.18%,Yes,0.52,-221.10%,21.30%,0.24,27.93,Yes,0.38,Oct 23 BMO,30.10%,1.65M,27.93,2.50,2.67%,4.68%,19.07%,"206,163",0.00%,large,60050000000.0
abbv,12-18-2020,S&P 500,23.01,4.57,0.10%,1.77B,2.40%,185.89B,8.64,12.19,-24.98%,1.76B,0.66%,7.32B,2.10,2.86,70.10%,0.79%,20.18%,40.65B,4.57,42.30%,-0.99%,1.71,6.18%,8.63,12.20,16.25%,6.10%,115.71,18.90%,4.50,23.38,10.98%,203.50%,62.55 - 109.15,18.90%,5.20,22.90,36.80%,21.20%,-2.26%,0.82,4.94%,0.80,10.80%,68.60%,70.56%,1.97,47000,1.00,52.20%,28.50%,63.57,1.06% 1.93%,Yes,5.70,2.20%,18.00%,0.60,105.27,Yes,5.39,Oct 30 BMO,100.60%,8.11M,106.69,2.00,1.58%,8.51%,16.45%,"2,490,767",1.35%,large,185890000000.0
